1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, Tesco, Tacoma, United States, Cash, 42176, Y, 
13, c_00013, Tyler Guerrero, 421, Sharpie pens, School Items, 9, $18.0, 2021-08-12 08:46:32, Tesco, Des Moines, United States, Internet Banking, 81737, Y, 
14, c_00014, Stephanie Fisher, 410, Markers, School Items, 7, $21.0, 2021-06-13 13:14:04, Tesco, Washington, United States, Cash, 66329, N, Insufficent funds
15, c_00015, Tyler Brown, 224, Wallet, Clothes, 3, $195.0, 2021-11-17 12:33:52, Tesco, Torrance, United States, Internet Banking, 38371, Y, 
16, c_00016, Samantha Moss, 301, Couches, Furniture, 3, $900.0, 2021-12-15 13:16:26, Tesco, Savannah, United States, Cash, 64990, Y, 
17, c_00017, Todd Campbell, 419, Lunch Bags, School Items, 3, $21.0, 2021-12-15 13:16:26, Tesco, Visalia, United States, Cash, 23686, Y, 
18, c_00018, Kelly Ellis, 216, Coats, Clothes, 5, $100.0, 2021-09-04 09:14:12, Tesco, St. Petersburg, United States, Gift card, 41044, Y, 
19, c_00019, Brenda Morales, 311, Ottoman, Furniture, 3, $150.0, 2021-06-20 15:53:48, Tesco, San Jose, United States, Electronic, 28785, Y, 
20, c_00020, Kathleen Burton, 421, Sharpie pens, School Items, 3, $6.0, 2021-06-09 08:40:19, Tesco, Riverside, United States, Cash, 75309, Y, 
21, c_00021, Peter Boyd, 221, Scarves, Clothes, 3, $54.0, 2021-06-09 08:40:19, Tesco, Torrance, United States, Gift card, 82039, Y, 
22, c_00022, Colleen Meyers, 306, Bookcase, Furniture, 10, $1500.0, 2021-09-05 16:49:50, Tesco, Huntington Beach, United States, Internet Banking, 78155, Y, 
23, c_00023, Margaret Wilson, 224, Wallet, Clothes, 10, $650.0, 2021-09-05 16:49:50, Tesco, Little Rock, United States, Gift card, 29686, Y, 
24, c_00024, Julie Oliver, 417, Pencil Pouch, School Items, 10, $50.0, 2021-11-24 19:33:46, Amazon, Kansas City, United States, Electronic, 58896, Y, 
25, c_00025, Daniel Richards, 302, Recliners, Furniture, 4, $660.0, 2021-01-16 11:46:13, Tesco, Huntington Beach, United States, Electronic, 83263, Y, 
26, c_00026, Dana Garcia, 311, Ottoman, Furniture, 3, $150.0, 2021-10-10 18:14:19, Tesco, Bayamon, United States, Gift card, 53997, Y, 
27, c_00027, Elizabeth Watkins, 107, Computers, Technology, 4, $2800.0, 2021-12-20 14:36:17, Amazon, Paradise, United States, Electronic, 35439, Y, 
28, c_00028, Holly Garcia, 404, Chromebooks, School Items, 10, $1200.0, 2021-12-28 18:40:07, Tesco, Denton, United States, Gift card, 60251, Y, 
29, c_00029, Michael Stewart, 314, Cradle, Furniture, 3, $387.0, 2021-12-02 12:11:02, bazos, Atlanta, United States, Electronic, 97717, Y, 
30, c_00030, Katherine Long, 107, Computers, Technology, 2, $1400.0, 2021-12-28 18:02:43, Aliexpress, Cleveland, United States, Electronic, 59796, Y, 
31, c_00031, Cory Davenport, 202, Shoes, Clothes, 10, $600.0, 2021-06-10 14:51:27, Tesco, Montgomery, United States, Gift card, 66658, N, Insufficent funds
32, c_00032, Alfred Cunningham, 114, Webcam, Technology, 9, $1080.0, 2021-12-19 11:50:19, Aldi, El Paso, United States, Card, 70841, Y, 
33, c_00033, Susan Rocha, 200, Jeans, Clothes, 1, $29.0, 2021-02-18 18:34:59, Tesco, Virginia Beach, United States, Gift card, 80674, Y, 
34, c_00034, Jeremy Hull, 411, Calculators, School Items, 2, $120.0, 2021-01-22 19:56:00, Tesco, Garland, United States, Internet Banking, 11902, Y, 
35, c_00035, Patricia Tucker, 315, Grandfather clock, Furniture, 10, $5000.0, 2021-06-16 08:05:01, Tesco, Pembroke Pines, United States, Internet Banking, 17118, Y, 
36, c_00036, Brittany Young, 304, Cabinets, Furniture, 2, $160.0, 2021-04-17 16:01:56, Tesco, Ontario, United States, Electronic, 42251, Y, 
37, c_00037, Carrie Young, 105, Electronic Locks, Technology, 3, $255.0, 2021-04-19 09:07:27, Tesco, Enterprise, United States, Internet Banking, 67237, Y, 
38, c_00038, Jill Alvarado, 315, Grandfather clock, Furniture, 3, $1500.0, 2021-04-19 09:07:27, Tesco, Philadelphia, United States, Card, 85974, Y, 
39, c_00039, Troy Cain, 406, Backpacks, School Items, 1, $29.0, 2021-09-26 14:33:27, Tesco, Fort Worth, United States, Internet Banking, 67521, Y, 
40, c_00040, Yolanda Baker, 423, Index cards, School Items, 4, $8.0, 2021-12-28 14:33:47, Tesco, Sacramento, United States, Cash, 12463, Y, 
41, c_00041, Jennifer Schroeder, 111, Earbuds, Technology, 4, $480.0, 2021-12-28 14:33:47, Tesco, Fort Wayne, United States, Internet Banking, 63454, Y, 
42, c_00042, Bryan Brown, 117, Fridges, Technology, 8, $2160.0, 2021-12-09 10:44:13, Mediamarkt, Chesapeake, United States, Internet Banking, 27461, Y, 
43, c_00043, Matthew Moore, 113, Mouse, Technology, 10, $800.0, 2021-07-05 12:14:30, Tesco, Bridgeport, United States, Electronic, 66994, Y, 
44, c_00044, Vincent Salinas, 206, Swimwear, Clothes, 9, $261.0, 2021-11-02 13:32:28, Tesco, Oakland, United States, Gift card, 61888, N, Insufficent funds
45, c_00045, Jake Vance, 120, Virtual Assistant, Technology, 9, $1611.0, 2021-11-02 13:32:28, Tesco, St. Louis, United States, Cash, 65960, Y, 
46, c_00046, Melanie Huffman, 102, Phones, Technology, 8, $4800.0, 2021-01-12 09:35:30, Tesco, San Jose, United States, Internet Banking, 81908, Y, 
47, c_00047, Christopher Kim, 202, Shoes, Clothes, 9, $540.0, 2021-11-23 13:04:29, Tesco, Enterprise, United States, Gift card, 85862, N, Insufficent funds
48, c_00048, Jennifer Hancock, 118, Monitors, Technology, 1, $150.0, 2021-02-13 13:01:44, Tesco, Bakersfield, United States, Electronic, 51607, Y, 
49, c_00049, Christine Hill, 216, Coats, Clothes, 7, $140.0, 2021-12-08 16:21:13, Mediamarkt, Grand Prairie, United States, Internet Banking, 14022, Y, 
50, c_00050, Ashley Rodriguez, 112, Smart fridges, Technology, 7, $2443.0, 2021-11-19 12:08:28, Tesco, Omaha, United States, Internet Banking, 29438, Y, 
51, c_00051, Christine Adams, 413, Sketchbooks, School Items, 7, $21.0, 2021-11-19 12:08:28, Tesco, Fremont, United States, Gift card, 77002, Y, 
52, c_00052, Diane Martinez, 303, Tables, Furniture, 10, $3500.0, 2021-06-14 12:46:21, Tesco, St. Paul, United States, Electronic, 64542, Y, 
53, c_00053, Brian Hughes, 209, Dresses, Clothes, 10, $990.0, 2021-06-14 12:46:21, Tesco, Thornton, United States, Internet Banking, 71479, N, Account locked
54, c_00054, Elizabeth Martinez, 102, Phones, Technology, 3, $1800.0, 2021-12-06 20:14:58, Aldi, Newport News, United States, Gift card, 62620, Y, 
55, c_00055, Matthew Phillips, 407, Bags, School Items, 7, $70.0, 2021-12-12 19:06:11, Aldi, St. Paul, United States, Card, 71081, N, Invalid card number
56, c_00056, Janice Woods, 311, Ottoman, Furniture, 7, $350.0, 2021-12-12 19:06:11, Aldi, Orlando, United States, Cash, 88601, Y, 
fifty-seventh, c_00057, Bradley Mccoy, 314, Cradle, Furniture, 8, $1032.0, 2021-06-03 20:20:19, Tesco, McKinney, United States, Gift card, 33516, Y, 
58, c_00058, Mercedes Hill, 415, Pens, School Items, 8, $12.0, 2021-06-03 20:20:19, Tesco, Amarillo, United States, Card, 44366, Y, 
59, c_00059, Samuel Sullivan, 202, Shoes, Clothes, 2, $120.0, 2021-11-10 12:09:14, Tesco, Escondido, United States, Cash, 14800, Y, 
60, c_00060, Rachel Brennan, 307, Dresser, Furniture, 2, $240.0, 2021-11-10 12:09:14, Tesco, Lincoln, United States, Electronic, 28513, Y, 
61, c_00061, Robert George, 207, Kahkis, Clothes, 8, $120.0, 2021-12-08 11:07:31, Tesco, Salt Lake City, United States, Electronic, 13902, Y, 
62, c_00062, James Marsh, 211, Glasses, Clothes, 8, $472.0, 2021-12-08 11:07:31, Tesco, Garden Grove, United States, Internet Banking, 64795, Y, 
sixty-third, c_00063, Madison Gibbs, 304, Cabinets, Furniture, 1, $80.0, 2021-12-25 12:29:10, Tesco, Chesapeake, United States, Electronic, 68354, Y, 
64, c_00064, Joshua Smith, 310, Ladders, Furniture, 5, $115.0, 2021-06-27 08:35:23, Amazon, San Juan, United States, Gift card, 62240, Y, 
65, c_00065, Tyler Carlson, 118, Monitors, Technology, 9, $1350.0, 2021-06-19 16:09:53, Tesco, Surprise, United States, Internet Banking, 12236, Y, 
66, c_00066, Mary Martinez, 104, Headphones, Technology, 8, $1040.0, 2021-12-11 19:01:32, Amazon, Springfield, United States, Card, 48611, Y, 
67, c_00067, Jacob Clark, 115, USB, Technology, 3, $45.0, 2021-08-28 19:13:04, Amazon, Peoria, United States, Internet Banking, 56255, Y, 
68, c_00068, Victor Cardenas, 216, Coats, Clothes, 3, $60.0, 2021-08-28 19:13:04, Amazon, San Antonio, United States, Electronic, 48533, Y, 
69, c_00069, Derek Mueller, 219, Boxers, Clothes, 6, $30.0, 2021-12-27 19:40:17, Amazon, Charleston, United States, Gift card, 98859, N, Insufficent funds
70, c_00070, Jesse Murphy, 208, Gowns, Clothes, 6, $174.0, 2021-12-27 19:40:17, Amazon, Frisco, United States, Cash, 40978, Y, 
71, c_00071, Gavin Richardson, 103, Microwaves, Technology, 7, $1120.0, 2021-11-07 11:43:12, Tesco, Santa Clarita, United States, Cash, 30187, N, Insufficent funds
72, c_00072, Lisa James, 417, Pencil Pouch, School Items, 4, $20.0, 2021-06-04 20:13:38, Tesco, Elk Grove, United States, Card, 17353, Y, 
73, c_00073, Dalton Powell, 301, Couches, Furniture, 7, $2100.0, 2021-07-20 08:40:56, Amazon, Rochester, United States, Gift card, 63889, Y, 
74, c_00074, Valerie Ramsey, 423, Index cards, School Items, 3, $6.0, 2021-10-07 12:34:36, Tesco, Peoria, United States, Card, 75733, N, Invalid card number
75, c_00075, Jill Vargas, 215, Jackets, Clothes, 3, $60.0, 2021-10-07 12:34:36, Tesco, Boston, United States, Electronic, 54544, N, Account locked
76, c_00076, Rhonda Hunter, 111, Earbuds, Technology, 7, $840.0, 2021-12-02 15:07:08, Amazon, Phoenix, United States, Cash, 59112, Y, 
77, c_00077, William Molina, 100, Laptops, Technology, 7, $3150.0, 2021-12-02 15:07:08, Amazon, Amarillo, United States, Card, 51891, Y, 
78, c_00078, Adam Gregory, 313, Cupboard, Furniture, 4, $360.0, 2021-03-06 17:49:03, Tesco, Knoxville, United States, Card, 66611, Y, 
79, c_00079, Tyler Mcgee, 404, Chromebooks, School Items, 6, $720.0, 2021-10-16 17:59:23, Tesco, Henderson, United States, Cash, 29229, Y, 
80, c_00080, Jennifer Richard, 115, USB, Technology, 6, $90.0, 2021-10-16 17:59:23, Tesco, Anchorage, United States, Cash, 58038, Y, 
81, c_00081, Mark Rasmussen, 306, Bookcase, Furniture, 4, $600.0, 2021-10-28 12:55:05, Tesco, Des Moines, United States, Cash, 20284, Y, 
82, c_00082, Jessica Warren, 417, Pencil Pouch, School Items, 7, $35.0, 2021-12-23 12:40:53, bazos, Winston-Salem, United States, Electronic, 80578, N, Account locked
83, c_00083, Tamara Baker, 226, Watch, Clothes, 1, $60.0, 2021-08-17 09:14:01, Tesco, Springfield, United States, Gift card, 78787, Y, 
84, c_00084, Alexander Herman, 419, Lunch Bags, School Items, 3, $21.0, 2021-12-07 12:16:21, Mediamarkt, Augusta, United States, Electronic, 17922, Y, 
85, c_00085, Jon Hart, 107, Computers, Technology, 3, $2100.0, 2021-12-07 12:16:21, Mediamarkt, Louisville, United States, Cash, 83299, Y, 
86, c_00086, Leonard Young, 205, Socks, Clothes, 9, $45.0, 2021-01-16 19:26:59, Tesco, Newark, United States, Electronic, 32622, Y, 
87, c_00087, Jessica Allen, 407, Bags, School Items, 9, $90.0, 2021-01-16 19:26:59, Tesco, San Antonio, United States, Internet Banking, 63396, Y, 
88, c_00088, Jessica Lewis, 116, Cables, Technology, 10, $300.0, 2021-06-11 18:44:24, Tesco, Port St. Lucie, United States, Gift card, 22293, Y, 
89, c_00089, Becky Paul, 215, Jackets, Clothes, 10, $200.0, 2021-12-27 08:48:33, Tesco, Los Angeles, United States, Cash, 85843, Y, 
90, c_00090, Christopher Wyatt, 217, Ties, Clothes, 6, $90.0, 2021-12-02 08:05:55, Amazon, Detroit, United States, Gift card, 57620, N, Insufficent funds
91, c_00091, James Wolf, 417, Pencil Pouch, School Items, 6, $30.0, 2021-12-02 08:05:55, Amazon, Glendale, United States, Gift card, 74996, Y, 
92, c_00092, Benjamin Perez, 300, Chairs, Furniture, 6, $360.0, 2021-12-28 14:01:47, Aldi, Charleston, United States, Internet Banking, 63973, N, Account locked
93, c_00093, Alison Hines, 120, Virtual Assistant, Technology, 9, $1611.0, 2021-12-08 12:25:46, Amazon, Garden Grove, United States, Cash, 20828, Y, 
94, c_00094, Jaime Lee, 103, Microwaves, Technology, 2, $320.0, 2021-06-23 08:23:51, Tesco, Chesapeake, United States, Internet Banking, 57689, Y, 
95, c_00095, David Smith, 306, Bookcase, Furniture, 9, $1350.0, 2021-11-14 14:30:41, Mediamarkt, Denton, United States, Cash, 11078, Y, 
96, c_00096, Brent Nelson, 304, Cabinets, Furniture, 10, $800.0, 2021-11-13 14:11:30, Amazon, Boston, United States, Cash, 59140, Y, 
97, c_00097, Sabrina Khan, 200, Jeans, Clothes, 9, $261.0, 2021-12-02 16:15:31, Amazon, Milwaukee, United States, Electronic, 65658, Y, 
98, c_00098, Mitchell Garcia, 307, Dresser, Furniture, 10, $1200.0, 2021-07-26 13:16:29, Tesco, Boise, United States, Gift card, 83654, Y, 
99, c_00099, Jimmy Guerra, 302, Recliners, Furniture, 10, $1650.0, 2021-07-26 13:16:29, Tesco, Hollywood, United States, Card, 73900, Y, 
100, c_00100, Joyce Dodson, 301, Couches, Furniture, 2, $600.0, 2021-03-03 14:52:45, Tesco, Sioux Falls, United States, Card, 15010, Y, 
101, c_00101, Mary Powell, 309, Beds, Furniture, 3, $1500.0, 2021-12-28 20:33:30, Tesco, Salem, United States, Gift card, 81767, Y, 
102, c_00102, Kathryn Miles, 204, Formal Wear, Clothes, 2, $240.0, 2021-07-21 11:57:22, Tesco, Escondido, United States, Internet Banking, 60637, Y, 
103, c_00103, Jessica Williams, 213, Tracksuit, Clothes, 3, $147.0, 2021-07-26 18:07:34, Tesco, Albuquerque, United States, Card, 78691, Y, 
one hundred and fourth, c_00104, Autumn Russell, 417, Pencil Pouch, School Items, 5, $25.0, 2021-02-24 18:43:47, Tesco, Huntington Beach, United States, Internet Banking, 13540, Y, 
105, c_00105, Megan Carpenter, 210, T-shirts, Clothes, 3, $30.0, 2021-09-07 14:23:08, Tesco, Fort Lauderdale, United States, Cash, 87817, Y, 
106, c_00106, Ashley Thompson, 202, Shoes, Clothes, 6, $360.0, 2021-11-17 18:45:11, Tesco, Nashville, United States, Cash, 37812, N, Insufficent funds
107, c_00107, Cassandra Vargas, 109, TVs, Technology, 2, $2400.0, 2021-12-11 18:10:30, Tesco, Cleveland, United States, Cash, 33510, Y, 
108, c_00108, Kyle Garner, 214, Suits, Clothes, 2, $240.0, 2021-12-11 18:10:30, Tesco, Pembroke Pines, United States, Electronic, 31277, Y, 
109, c_00109, Caitlin Fletcher, 315, Grandfather clock, Furniture, 4, $2000.0, 2021-11-23 13:07:45, Tesco, Bakersfield, United States, Electronic, 44921, N, Account locked
110, c_00110, Stephen Marshall, 309, Beds, Furniture, 4, $2000.0, 2021-11-23 13:07:45, Tesco, San Francisco, United States, Internet Banking, 24131, Y, 
111, c_00111, Bonnie Wright, 204, Formal Wear, Clothes, 10, $1200.0, 2021-12-23 15:09:00, Amazon, Tacoma, United States, Gift card, 25746, N, Insufficent funds
112, c_00112, Jay Watson, 205, Socks, Clothes, 8, $40.0, 2021-06-27 08:25:12, Tesco, Joliet, United States, Internet Banking, 36207, N, Account locked
113, c_00113, Charles Walker, 407, Bags, School Items, 8, $80.0, 2021-06-27 08:25:12, Tesco, Dallas, United States, Electronic, 44648, Y, 
114, c_00114, Kelly Welch, 105, Electronic Locks, Technology, 7, $595.0, 2021-12-06 13:42:25, Mediamarkt, Savannah, United States, Gift card, 74907, Y, 
115, c_00115, Zachary Cook, 411, Calculators, School Items, 4, $240.0, 2021-07-04 19:07:28, Tesco, Tampa, United States, Gift card, 83633, Y, 
116, c_00116, Elizabeth Salazar, 421, Sharpie pens, School Items, 4, $8.0, 2021-07-04 19:07:28, Tesco, Huntington Beach, United States, Card, 51828, Y, 
117, c_00117, Robert Morton, 220, Bow-ties, Clothes, 10, $150.0, 2021-12-06 17:01:44, Aldi, Frisco, United States, Cash, 29316, Y, 
118, c_00118, Ashley Delgado, 307, Dresser, Furniture, 7, $840.0, 2021-12-03 10:16:33, Amazon, Port St. Lucie, United States, Cash, 23589, N, Insufficent funds
119, c_00119, Joseph Ray, 117, Fridges, Technology, 1, $270.0, 2021-01-03 09:57:42, Tesco, Memphis, United States, Gift card, 79782, Y, 
120, c_00120, Jennifer Liu, 102, Phones, Technology, 4, $2400.0, 2021-11-07 16:12:31, Mediamarkt, Detroit, United States, Internet Banking, 40088, Y, 
121, c_00121, Justin Brown, 214, Suits, Clothes, 8, $960.0, 2021-06-03 16:15:29, Tesco, Oklahoma City, United States, Cash, 98396, N, Insufficent funds
122, c_00122, Amanda Walker, 400, Notebooks, School Items, 8, $8.0, 2021-12-05 14:39:04, Amazon, Seattle, United States, Cash, 31958, Y, 
123, c_00123, Steven Sandoval, 205, Socks, Clothes, 9, $45.0, 2021-10-15 18:33:10, Tesco, Wichita, United States, Card, 12017, Y, 
124, c_00124, Katrina Sparks, 100, Laptops, Technology, 7, $3150.0, 2021-02-21 20:28:08, Tesco, St. Paul, United States, Cash, 31439, Y, 
125, c_00125, Kathryn Molina, 419, Lunch Bags, School Items, 7, $49.0, 2021-02-21 20:28:08, Tesco, Santa Ana, United States, Card, 74064, Y, 
126, c_00126, Frank Peters, 107, Computers, Technology, 3, $2100.0, 2021-11-23 16:49:42, Mediamarkt, Fremont, United States, Cash, 48828, N, Insufficent funds
127, c_00127, Tiffany Mcgee, 404, Chromebooks, School Items, 9, $1080.0, 2021-02-25 13:23:06, Tesco, Sunnyvale, United States, Gift card, 69664, N, Insufficent funds
128, c_00128, Chad Freeman, 217, Ties, Clothes, 9, $135.0, 2021-02-25 13:23:06, Tesco, Cape Coral, United States, Internet Banking, 44390, Y, 
129, c_00129, James Potter, 210, T-shirts, Clothes, 9, $90.0, 2021-03-13 15:36:38, Tesco, McAllen, United States, Cash, 37013, Y, 
130, c_00130, Cody Brooks, 112, Smart fridges, Technology, 6, $2094.0, 2021-12-18 19:14:01, Aldi, Paradise, United States, Cash, 24044, Y, 
131, c_00131, Jenna Baldwin, 409, Crayons, School Items, 6, $18.0, 2021-12-18 19:14:01, Aldi, Wichita, United States, Internet Banking, 18888, Y, 
132, c_00132, Tina Thompson, 308, Chest, Furniture, 5, $400.0, 2021-12-18 11:43:16, Amazon, Sacramento, United States, Card, 65532, Y, 
133, c_00133, Robert Anderson, 316, Shelves, Furniture, 5, $150.0, 2021-12-18 11:43:16, Amazon, Tempe, United States, Cash, 79095, N, Insufficent funds
134, c_00134, Charles Bray, 410, Markers, School Items, 1, $3.0, 2021-12-22 19:18:41, Amazon, San Bernardino, United States, Internet Banking, 18750, Y, 
135, c_00135, Joseph Koch, 307, Dresser, Furniture, 6, $720.0, 2021-11-12 13:33:17, Tesco, Lubbock, United States, Internet Banking, 94132, Y, 
136, c_00136, Kathleen Dunn, 217, Ties, Clothes, 2, $30.0, 2021-11-27 08:21:44, Tesco, Des Moines, United States, Card, 48451, Y, 
137, c_00137, Erin Ortiz, 410, Markers, School Items, 2, $6.0, 2021-11-27 08:21:44, Tesco, Chattanooga, United States, Cash, 11691, Y, 
138, c_00138, Julie Jackson, 300, Chairs, Furniture, 1, $60.0, 2021-09-08 14:19:27, alza.cz, Stockton, United States, Internet Banking, 30803, Y, 
139, c_00139, Justin Knapp, 120, Virtual Assistant, Technology, 2, $358.0, 2021-06-01 18:46:19, Tesco, Boise, United States, Card, 88156, Y, 
140, c_00140, Jordan Foster, 100, Laptops, Technology, 3, $1350.0, 2021-12-15 08:42:12, Amazon, Plano, United States, Internet Banking, 33039, Y, 
141, c_00141, Johnny Lopez, 117, Fridges, Technology, 2, $540.0, 2021-10-19 13:56:43, Amazon, Sunrise Manor, United States, Electronic, 47220, Y, 
142, c_00142, Mary Gibson, 210, T-shirts, Clothes, 2, $20.0, 2021-11-25 08:25:15, Tesco, Madison, United States, Cash, 87206, Y, 
143, c_00143, Lisa Taylor, 118, Monitors, Technology, 2, $300.0, 2021-11-25 08:25:15, Tesco, El Paso, United States, Electronic, 63857, Y, 
144, c_00144, Megan Adams, 313, Cupboard, Furniture, 9, $810.0, 2021-10-06 09:24:12, Tesco, Kansas City, United States, Cash, 84916, Y, 
145, c_00145, Craig Collier, 107, Computers, Technology, 3, $2100.0, 2021-08-12 18:55:35, Amazon, Wichita, United States, Cash, 93156, Y, 
146, c_00146, Melissa Frazier, 104, Headphones, Technology, 3, $390.0, 2021-08-12 18:55:35, Amazon, Spokane, United States, Card, 62427, Y, 
147, c_00147, Deborah Bartlett, 114, Webcam, Technology, 8, $960.0, 2021-12-01 08:07:51, Tesco, San Francisco, United States, Cash, 38403, Y, 
148, c_00148, Brittany Lee, 402, Mechanical Pencils, School Items, 8, $4.0, 2021-12-01 08:07:51, Tesco, Visalia, United States, Card, 29030, N, Invalid zip code
one hundred and forty-ninth, c_00149, Mark Orozco, 113, Mouse, Technology, 1, $80.0, 2021-12-13 15:41:19, Aldi, Kansas City, United States, Cash, 98064, Y, 
150, c_00150, James Shelton, 221, Scarves, Clothes, 8, $144.0, 2021-12-19 13:38:56, Amazon, Hayward, United States, Card, 38673, Y, 
151, c_00151, Tracy Vargas, 305, Clocks, Furniture, 5, $500.0, 2021-10-03 11:29:53, Tesco, Tucson, United States, Electronic, 37087, Y, 
152, c_00152, Cathy Garcia, 405, Textbooks, School Items, 10, $650.0, 2021-12-04 08:30:38, Aldi, Tallahassee, United States, Gift card, 62309, N, Insufficent funds
153, c_00153, Julia Mcdaniel, 103, Microwaves, Technology, 10, $1600.0, 2021-12-16 14:04:38, Mediamarkt, Savannah, United States, Cash, 69675, N, Insufficent funds
154, c_00154, Michael Mendoza, 112, Smart fridges, Technology, 10, $3490.0, 2021-12-16 14:04:38, Mediamarkt, Sacramento, United States, Cash, 30688, Y, 
155, c_00155, Robert Little, 405, Textbooks, School Items, 6, $390.0, 2021-10-26 20:39:35, Tesco, Hollywood, United States, Internet Banking, 34822, Y, 
156, c_00156, Sabrina Neal, 105, Electronic Locks, Technology, 3, $255.0, 2021-05-07 20:11:36, Amazon, McKinney, United States, Cash, 45989, Y, 
157, c_00157, Veronica Wise, 103, Microwaves, Technology, 5, $800.0, 2021-01-05 13:36:32, Tesco, Atlanta, United States, Electronic, 53783, N, Account locked
158, c_00158, Melanie Nguyen, 305, Clocks, Furniture, 5, $500.0, 2021-01-05 13:36:32, Tesco, Toledo, United States, Internet Banking, 44078, Y, 
159, c_00159, Vanessa Williams, 316, Shelves, Furniture, 9, $270.0, 2021-12-27 19:08:23, Amazon, San Juan, United States, Gift card, 54087, Y, 
160, c_00160, Victoria Ramirez, 223, Belts, Clothes, 1, $42.0, 2021-12-11 19:24:04, Tesco, Tampa, United States, Gift card, 18174, Y, 
one hundred and sixty-first, c_00161, Joseph Hicks, 313, Cupboard, Furniture, 6, $540.0, 2021-12-01 09:12:37, Tesco, McKinney, United States, Card, 95551, Y, 
162, c_00162, Raymond Lin, 113, Mouse, Technology, 6, $480.0, 2021-12-01 09:12:37, Tesco, Garden Grove, United States, Internet Banking, 42400, Y, 
163, c_00163, Christine Miller, 213, Tracksuit, Clothes, 5, $245.0, 2021-06-10 10:48:54, Tesco, Pembroke Pines, United States, Card, 89464, Y, 
164, c_00164, Ashley Watkins, 206, Swimwear, Clothes, 4, $116.0, 2021-12-26 18:14:24, Tesco, Sioux Falls, United States, Card, 19214, Y, 
165, c_00165, Stacey Guzman, 405, Textbooks, School Items, 4, $260.0, 2021-12-26 18:14:24, Tesco, Savannah, United States, Gift card, 38669, Y, 
166, c_00166, Emily Moran, 406, Backpacks, School Items, 7, $203.0, 2021-07-20 16:14:49, Tesco, Port St. Lucie, United States, Cash, 50606, Y, 
167, c_00167, Maria Fischer, 407, Bags, School Items, 5, $50.0, 2021-10-21 08:03:20, Tesco, Fontana, United States, Internet Banking, 30553, N, Account locked
168, c_00168, Nicole Young, 300, Chairs, Furniture, 5, $300.0, 2021-10-21 08:03:20, Tesco, Visalia, United States, Electronic, 63223, Y, 
169, c_00169, Kaitlin Phillips, 310, Ladders, Furniture, 2, $46.0, 2021-03-21 17:34:16, Tesco, Denton, United States, Internet Banking, 25475, Y, 
170, c_00170, Jeffrey Boyd, 312, Stool, Furniture, 7, $175.0, 2021-08-20 15:15:52, Tesco, Springfield, United States, Internet Banking, 64575, Y, 
171, c_00171, Amanda Chen, 217, Ties, Clothes, 7, $105.0, 2021-08-20 15:15:52, Tesco, Durham, United States, Card, 46951, N, Invalid CVV
one hundred and seventy-second, c_00172, Nicholas Miller, 300, Chairs, Furniture, 1, $60.0, 2021-07-04 11:37:47, Tesco, Laredo, United States, Cash, 91565, Y, 
173, c_00173, Evelyn Smith, 221, Scarves, Clothes, 6, $108.0, 2021-12-10 10:32:10, Amazon, Yonkers, United States, Card, 90924, Y, 
174, c_00174, Jennifer Collins, 103, Microwaves, Technology, 10, $1600.0, 2021-11-10 18:04:10, Tesco, Port St. Lucie, United States, Internet Banking, 98865, Y, 
