1, c_00001, Rebecca Lawrence, 421, Sharpie pens, School Items, 1, $2.0, 2021-09-08 16:30:06, United States, Tacoma, Tesco, Cash, 42176, Y, 
forty-fourth, c_00044, Vincent Salinas, 206, Swimwear, Clothes, 9, $261.0, 2021-11-02 13:32:28, United States, Oakland, Tesco, Gift card, 61888, N, Insufficent funds
45, c_00045, Jake Vance, 120, Virtual Assistant, Technology, 9, $1611.0, 2021-11-02 13:32:28, United States, St. Louis, Tesco, Cash, 65960, Y, 
46, c_00046, Melanie Huffman, 102, Phones, Technology, 8, $4800.0, 2021-01-12 09:35:30, United States, San Jose, Tesco, Internet Banking, 81908, Y, 
47, c_00047, Christopher Kim, 202, Shoes, Clothes, 9, $540.0, 2021-11-23 13:04:29, United States, Enterprise, Tesco, Gift card, 85862, N, Insufficent funds
48, c_00048, Jennifer Hancock, 118, Monitors, Technology, 1, $150.0, 2021-02-13 13:01:44, United States, Bakersfield, Tesco, Electronic, 51607, Y, 
49, c_00049, Christine Hill, 216, Coats, Clothes, 7, $140.0, 2021-12-08 16:21:13, United States, Grand Prairie, Mediamarkt, Internet Banking, 14022, Y, 
fiftieth, c_00050, Ashley Rodriguez, 112, Smart fridges, Technology, 7, $2443.0, 2021-11-19 12:08:28, United States, Omaha, Tesco, Internet Banking, 29438, Y, 
51, c_00051, Christine Adams, 413, Sketchbooks, School Items, 7, $21.0, 2021-11-19 12:08:28, United States, Fremont, Tesco, Gift card, 77002, Y, 
52, c_00052, Diane Martinez, 303, Tables, Furniture, 10, $3500.0, 2021-06-14 12:46:21, United States, St. Paul, Tesco, Electronic, 64542, Y, 
53, c_00053, Brian Hughes, 209, Dresses, Clothes, 10, $990.0, 2021-06-14 12:46:21, United States, Thornton, Tesco, Internet Banking, 71479, N, Account locked
54, c_00054, Elizabeth Martinez, 102, Phones, Technology, 3, $1800.0, 2021-12-06 20:14:58, United States, Newport News, Aldi, Gift card, 62620, Y, 
55, c_00055, Matthew Phillips, 407, Bags, School Items, 7, $70.0, 2021-12-12 19:06:11, United States, St. Paul, Aldi, Card, 71081, N, Invalid card number
56, c_00056, Janice Woods, 311, Ottoman, Furniture, 7, $350.0, 2021-12-12 19:06:11, United States, Orlando, Aldi, Cash, 88601, Y, 
57, c_00057, Bradley Mccoy, 314, Cradle, Furniture, 8, $1032.0, 2021-06-03 20:20:19, United States, McKinney, Tesco, Gift card, 33516, Y, 
58, c_00058, Mercedes Hill, 415, Pens, School Items, 8, $12.0, 2021-06-03 20:20:19, United States, Amarillo, Tesco, Card, 44366, Y, 
59, c_00059, Samuel Sullivan, 202, Shoes, Clothes, 2, $120.0, 2021-11-10 12:09:14, United States, Escondido, Tesco, Cash, 14800, Y, 
60, c_00060, Rachel Brennan, 307, Dresser, Furniture, 2, $240.0, 2021-11-10 12:09:14, United States, Lincoln, Tesco, Electronic, 28513, Y, 
61, c_00061, Robert George, 207, Kahkis, Clothes, 8, $120.0, 2021-12-08 11:07:31, United States, Salt Lake City, Tesco, Electronic, 13902, Y, 
62, c_00062, James Marsh, 211, Glasses, Clothes, 8, $472.0, 2021-12-08 11:07:31, United States, Garden Grove, Tesco, Internet Banking, 64795, Y, 
63, c_00063, Madison Gibbs, 304, Cabinets, Furniture, 1, $80.0, 2021-12-25 12:29:10, United States, Chesapeake, Tesco, Electronic, 68354, Y, 
64, c_00064, Joshua Smith, 310, Ladders, Furniture, 5, $115.0, 2021-06-27 08:35:23, United States, San Juan, Amazon, Gift card, 62240, Y, 
65, c_00065, Tyler Carlson, 118, Monitors, Technology, 9, $1350.0, 2021-06-19 16:09:53, United States, Surprise, Tesco, Internet Banking, 12236, Y, 
66, c_00066, Mary Martinez, 104, Headphones, Technology, 8, $1040.0, 2021-12-11 19:01:32, United States, Springfield, Amazon, Card, 48611, Y, 
67, c_00067, Jacob Clark, 115, USB, Technology, 3, $45.0, 2021-08-28 19:13:04, United States, Peoria, Amazon, Internet Banking, 56255, Y, 
68, c_00068, Victor Cardenas, 216, Coats, Clothes, 3, $60.0, 2021-08-28 19:13:04, United States, San Antonio, Amazon, Electronic, 48533, Y, 
69, c_00069, Derek Mueller, 219, Boxers, Clothes, 6, $30.0, 2021-12-27 19:40:17, United States, Charleston, Amazon, Gift card, 98859, N, Insufficent funds
70, c_00070, Jesse Murphy, 208, Gowns, Clothes, 6, $174.0, 2021-12-27 19:40:17, United States, Frisco, Amazon, Cash, 40978, Y, 
71, c_00071, Gavin Richardson, 103, Microwaves, Technology, 7, $1120.0, 2021-11-07 11:43:12, United States, Santa Clarita, Tesco, Cash, 30187, N, Insufficent funds
72, c_00072, Lisa James, 417, Pencil Pouch, School Items, 4, $20.0, 2021-06-04 20:13:38, United States, Elk Grove, Tesco, Card, 17353, Y, 
73, c_00073, Dalton Powell, 301, Couches, Furniture, 7, $2100.0, 2021-07-20 08:40:56, United States, Rochester, Amazon, Gift card, 63889, Y, 
74, c_00074, Valerie Ramsey, 423, Index cards, School Items, 3, $6.0, 2021-10-07 12:34:36, United States, Peoria, Tesco, Card, 75733, N, Invalid card number
75, c_00075, Jill Vargas, 215, Jackets, Clothes, 3, $60.0, 2021-10-07 12:34:36, United States, Boston, Tesco, Electronic, 54544, N, Account locked
76, c_00076, Rhonda Hunter, 111, Earbuds, Technology, 7, $840.0, 2021-12-02 15:07:08, United States, Phoenix, Amazon, Cash, 59112, Y, 
77, c_00077, William Molina, 100, Laptops, Technology, 7, $3150.0, 2021-12-02 15:07:08, United States, Amarillo, Amazon, Card, 51891, Y, 
78, c_00078, Adam Gregory, 313, Cupboard, Furniture, 4, $360.0, 2021-03-06 17:49:03, United States, Knoxville, Tesco, Card, 66611, Y, 
79, c_00079, Tyler Mcgee, 404, Chromebooks, School Items, 6, $720.0, 2021-10-16 17:59:23, United States, Henderson, Tesco, Cash, 29229, Y, 
80, c_00080, Jennifer Richard, 115, USB, Technology, 6, $90.0, 2021-10-16 17:59:23, United States, Anchorage, Tesco, Cash, 58038, Y, 
81, c_00081, Mark Rasmussen, 306, Bookcase, Furniture, 4, $600.0, 2021-10-28 12:55:05, United States, Des Moines, Tesco, Cash, 20284, Y, 
82, c_00082, Jessica Warren, 417, Pencil Pouch, School Items, 7, $35.0, 2021-12-23 12:40:53, United States, Winston-Salem, bazos, Electronic, 80578, N, Account locked
83, c_00083, Tamara Baker, 226, Watch, Clothes, 1, $60.0, 2021-08-17 09:14:01, United States, Springfield, Tesco, Gift card, 78787, Y, 
84, c_00084, Alexander Herman, 419, Lunch Bags, School Items, 3, $21.0, 2021-12-07 12:16:21, United States, Augusta, Mediamarkt, Electronic, 17922, Y, 
85, c_00085, Jon Hart, 107, Computers, Technology, 3, $2100.0, 2021-12-07 12:16:21, United States, Louisville, Mediamarkt, Cash, 83299, Y, 
86, c_00086, Leonard Young, 205, Socks, Clothes, 9, $45.0, 2021-01-16 19:26:59, United States, Newark, Tesco, Electronic, 32622, Y, 
87, c_00087, Jessica Allen, 407, Bags, School Items, 9, $90.0, 2021-01-16 19:26:59, United States, San Antonio, Tesco, Internet Banking, 63396, Y, 
88, c_00088, Jessica Lewis, 116, Cables, Technology, 10, $300.0, 2021-06-11 18:44:24, United States, Port St. Lucie, Tesco, Gift card, 22293, Y, 
eighty-ninth, c_00089, Becky Paul, 215, Jackets, Clothes, 10, $200.0, 2021-12-27 08:48:33, United States, Los Angeles, Tesco, Cash, 85843, Y, 
90, c_00090, Christopher Wyatt, 217, Ties, Clothes, 6, $90.0, 2021-12-02 08:05:55, United States, Detroit, Amazon, Gift card, 57620, N, Insufficent funds
91, c_00091, James Wolf, 417, Pencil Pouch, School Items, 6, $30.0, 2021-12-02 08:05:55, United States, Glendale, Amazon, Gift card, 74996, Y, 
92, c_00092, Benjamin Perez, 300, Chairs, Furniture, 6, $360.0, 2021-12-28 14:01:47, United States, Charleston, Aldi, Internet Banking, 63973, N, Account locked
93, c_00093, Alison Hines, 120, Virtual Assistant, Technology, 9, $1611.0, 2021-12-08 12:25:46, United States, Garden Grove, Amazon, Cash, 20828, Y, 
94, c_00094, Jaime Lee, 103, Microwaves, Technology, 2, $320.0, 2021-06-23 08:23:51, United States, Chesapeake, Tesco, Internet Banking, 57689, Y, 
95, c_00095, David Smith, 306, Bookcase, Furniture, 9, $1350.0, 2021-11-14 14:30:41, United States, Denton, Mediamarkt, Cash, 11078, Y, 
96, c_00096, Brent Nelson, 304, Cabinets, Furniture, 10, $800.0, 2021-11-13 14:11:30, United States, Boston, Amazon, Cash, 59140, Y, 
97, c_00097, Sabrina Khan, 200, Jeans, Clothes, 9, $261.0, 2021-12-02 16:15:31, United States, Milwaukee, Amazon, Electronic, 65658, Y, 
ninety-eighth, c_00098, Mitchell Garcia, 307, Dresser, Furniture, 10, $1200.0, 2021-07-26 13:16:29, United States, Boise, Tesco, Gift card, 83654, Y, 
99, c_00099, Jimmy Guerra, 302, Recliners, Furniture, 10, $1650.0, 2021-07-26 13:16:29, United States, Hollywood, Tesco, Card, 73900, Y, 
100, c_00100, Joyce Dodson, 301, Couches, Furniture, 2, $600.0, 2021-03-03 14:52:45, United States, Sioux Falls, Tesco, Card, 15010, Y, 
101, c_00101, Mary Powell, 309, Beds, Furniture, 3, $1500.0, 2021-12-28 20:33:30, United States, Salem, Tesco, Gift card, 81767, Y, 
102, c_00102, Kathryn Miles, 204, Formal Wear, Clothes, 2, $240.0, 2021-07-21 11:57:22, United States, Escondido, Tesco, Internet Banking, 60637, Y, 
103, c_00103, Jessica Williams, 213, Tracksuit, Clothes, 3, $147.0, 2021-07-26 18:07:34, United States, Albuquerque, Tesco, Card, 78691, Y, 
104, c_00104, Autumn Russell, 417, Pencil Pouch, School Items, 5, $25.0, 2021-02-24 18:43:47, United States, Huntington Beach, Tesco, Internet Banking, 13540, Y, 
105, c_00105, Megan Carpenter, 210, T-shirts, Clothes, 3, $30.0, 2021-09-07 14:23:08, United States, Fort Lauderdale, Tesco, Cash, 87817, Y, 
106, c_00106, Ashley Thompson, 202, Shoes, Clothes, 6, $360.0, 2021-11-17 18:45:11, United States, Nashville, Tesco, Cash, 37812, N, Insufficent funds
107, c_00107, Cassandra Vargas, 109, TVs, Technology, 2, $2400.0, 2021-12-11 18:10:30, United States, Cleveland, Tesco, Cash, 33510, Y, 
108, c_00108, Kyle Garner, 214, Suits, Clothes, 2, $240.0, 2021-12-11 18:10:30, United States, Pembroke Pines, Tesco, Electronic, 31277, Y, 
109, c_00109, Caitlin Fletcher, 315, Grandfather clock, Furniture, 4, $2000.0, 2021-11-23 13:07:45, United States, Bakersfield, Tesco, Electronic, 44921, N, Account locked
110, c_00110, Stephen Marshall, 309, Beds, Furniture, 4, $2000.0, 2021-11-23 13:07:45, United States, San Francisco, Tesco, Internet Banking, 24131, Y, 
111, c_00111, Bonnie Wright, 204, Formal Wear, Clothes, 10, $1200.0, 2021-12-23 15:09:00, United States, Tacoma, Amazon, Gift card, 25746, N, Insufficent funds
one hundred and twelfth, c_00112, Jay Watson, 205, Socks, Clothes, 8, $40.0, 2021-06-27 08:25:12, United States, Joliet, Tesco, Internet Banking, 36207, N, Account locked
113, c_00113, Charles Walker, 407, Bags, School Items, 8, $80.0, 2021-06-27 08:25:12, United States, Dallas, Tesco, Electronic, 44648, Y, 
114, c_00114, Kelly Welch, 105, Electronic Locks, Technology, 7, $595.0, 2021-12-06 13:42:25, United States, Savannah, Mediamarkt, Gift card, 74907, Y, 
115, c_00115, Zachary Cook, 411, Calculators, School Items, 4, $240.0, 2021-07-04 19:07:28, United States, Tampa, Tesco, Gift card, 83633, Y, 
116, c_00116, Elizabeth Salazar, 421, Sharpie pens, School Items, 4, $8.0, 2021-07-04 19:07:28, United States, Huntington Beach, Tesco, Card, 51828, Y, 
117, c_00117, Robert Morton, 220, Bow-ties, Clothes, 10, $150.0, 2021-12-06 17:01:44, United States, Frisco, Aldi, Cash, 29316, Y, 
one hundred and eighteenth, c_00118, Ashley Delgado, 307, Dresser, Furniture, 7, $840.0, 2021-12-03 10:16:33, United States, Port St. Lucie, Amazon, Cash, 23589, N, Insufficent funds
119, c_00119, Joseph Ray, 117, Fridges, Technology, 1, $270.0, 2021-01-03 09:57:42, United States, Memphis, Tesco, Gift card, 79782, Y, 
120, c_00120, Jennifer Liu, 102, Phones, Technology, 4, $2400.0, 2021-11-07 16:12:31, United States, Detroit, Mediamarkt, Internet Banking, 40088, Y, 
121, c_00121, Justin Brown, 214, Suits, Clothes, 8, $960.0, 2021-06-03 16:15:29, United States, Oklahoma City, Tesco, Cash, 98396, N, Insufficent funds
122, c_00122, Amanda Walker, 400, Notebooks, School Items, 8, $8.0, 2021-12-05 14:39:04, United States, Seattle, Amazon, Cash, 31958, Y, 
123, c_00123, Steven Sandoval, 205, Socks, Clothes, 9, $45.0, 2021-10-15 18:33:10, United States, Wichita, Tesco, Card, 12017, Y, 
124, c_00124, Katrina Sparks, 100, Laptops, Technology, 7, $3150.0, 2021-02-21 20:28:08, United States, St. Paul, Tesco, Cash, 31439, Y, 
125, c_00125, Kathryn Molina, 419, Lunch Bags, School Items, 7, $49.0, 2021-02-21 20:28:08, United States, Santa Ana, Tesco, Card, 74064, Y, 
126, c_00126, Frank Peters, 107, Computers, Technology, 3, $2100.0, 2021-11-23 16:49:42, United States, Fremont, Mediamarkt, Cash, 48828, N, Insufficent funds
one hundred and twenty-seventh, c_00127, Tiffany Mcgee, 404, Chromebooks, School Items, 9, $1080.0, 2021-02-25 13:23:06, United States, Sunnyvale, Tesco, Gift card, 69664, N, Insufficent funds
one hundred and twenty-eighth, c_00128, Chad Freeman, 217, Ties, Clothes, 9, $135.0, 2021-02-25 13:23:06, United States, Cape Coral, Tesco, Internet Banking, 44390, Y, 
129, c_00129, James Potter, 210, T-shirts, Clothes, 9, $90.0, 2021-03-13 15:36:38, United States, McAllen, Tesco, Cash, 37013, Y, 
130, c_00130, Cody Brooks, 112, Smart fridges, Technology, 6, $2094.0, 2021-12-18 19:14:01, United States, Paradise, Aldi, Cash, 24044, Y, 
131, c_00131, Jenna Baldwin, 409, Crayons, School Items, 6, $18.0, 2021-12-18 19:14:01, United States, Wichita, Aldi, Internet Banking, 18888, Y, 
one hundred and thirty-second, c_00132, Tina Thompson, 308, Chest, Furniture, 5, $400.0, 2021-12-18 11:43:16, United States, Sacramento, Amazon, Card, 65532, Y, 
133, c_00133, Robert Anderson, 316, Shelves, Furniture, 5, $150.0, 2021-12-18 11:43:16, United States, Tempe, Amazon, Cash, 79095, N, Insufficent funds
134, c_00134, Charles Bray, 410, Markers, School Items, 1, $3.0, 2021-12-22 19:18:41, United States, San Bernardino, Amazon, Internet Banking, 18750, Y, 
135, c_00135, Joseph Koch, 307, Dresser, Furniture, 6, $720.0, 2021-11-12 13:33:17, United States, Lubbock, Tesco, Internet Banking, 94132, Y, 
136, c_00136, Kathleen Dunn, 217, Ties, Clothes, 2, $30.0, 2021-11-27 08:21:44, United States, Des Moines, Tesco, Card, 48451, Y, 
137, c_00137, Erin Ortiz, 410, Markers, School Items, 2, $6.0, 2021-11-27 08:21:44, United States, Chattanooga, Tesco, Cash, 11691, Y, 
138, c_00138, Julie Jackson, 300, Chairs, Furniture, 1, $60.0, 2021-09-08 14:19:27, United States, Stockton, alza.cz, Internet Banking, 30803, Y, 
139, c_00139, Justin Knapp, 120, Virtual Assistant, Technology, 2, $358.0, 2021-06-01 18:46:19, United States, Boise, Tesco, Card, 88156, Y, 
140, c_00140, Jordan Foster, 100, Laptops, Technology, 3, $1350.0, 2021-12-15 08:42:12, United States, Plano, Amazon, Internet Banking, 33039, Y, 
141, c_00141, Johnny Lopez, 117, Fridges, Technology, 2, $540.0, 2021-10-19 13:56:43, United States, Sunrise Manor, Amazon, Electronic, 47220, Y, 
142, c_00142, Mary Gibson, 210, T-shirts, Clothes, 2, $20.0, 2021-11-25 08:25:15, United States, Madison, Tesco, Cash, 87206, Y, 
143, c_00143, Lisa Taylor, 118, Monitors, Technology, 2, $300.0, 2021-11-25 08:25:15, United States, El Paso, Tesco, Electronic, 63857, Y, 
144, c_00144, Megan Adams, 313, Cupboard, Furniture, 9, $810.0, 2021-10-06 09:24:12, United States, Kansas City, Tesco, Cash, 84916, Y, 
145, c_00145, Craig Collier, 107, Computers, Technology, 3, $2100.0, 2021-08-12 18:55:35, United States, Wichita, Amazon, Cash, 93156, Y, 
146, c_00146, Melissa Frazier, 104, Headphones, Technology, 3, $390.0, 2021-08-12 18:55:35, United States, Spokane, Amazon, Card, 62427, Y, 
147, c_00147, Deborah Bartlett, 114, Webcam, Technology, 8, $960.0, 2021-12-01 08:07:51, United States, San Francisco, Tesco, Cash, 38403, Y, 
148, c_00148, Brittany Lee, 402, Mechanical Pencils, School Items, 8, $4.0, 2021-12-01 08:07:51, United States, Visalia, Tesco, Card, 29030, N, Invalid zip code
149, c_00149, Mark Orozco, 113, Mouse, Technology, 1, $80.0, 2021-12-13 15:41:19, United States, Kansas City, Aldi, Cash, 98064, Y, 
one hundred and fiftieth, c_00150, James Shelton, 221, Scarves, Clothes, 8, $144.0, 2021-12-19 13:38:56, United States, Hayward, Amazon, Card, 38673, Y, 
151, c_00151, Tracy Vargas, 305, Clocks, Furniture, 5, $500.0, 2021-10-03 11:29:53, United States, Tucson, Tesco, Electronic, 37087, Y, 
one hundred and fifty-second, c_00152, Cathy Garcia, 405, Textbooks, School Items, 10, $650.0, 2021-12-04 08:30:38, United States, Tallahassee, Aldi, Gift card, 62309, N, Insufficent funds
153, c_00153, Julia Mcdaniel, 103, Microwaves, Technology, 10, $1600.0, 2021-12-16 14:04:38, United States, Savannah, Mediamarkt, Cash, 69675, N, Insufficent funds
154, c_00154, Michael Mendoza, 112, Smart fridges, Technology, 10, $3490.0, 2021-12-16 14:04:38, United States, Sacramento, Mediamarkt, Cash, 30688, Y, 
155, c_00155, Robert Little, 405, Textbooks, School Items, 6, $390.0, 2021-10-26 20:39:35, United States, Hollywood, Tesco, Internet Banking, 34822, Y, 
156, c_00156, Sabrina Neal, 105, Electronic Locks, Technology, 3, $255.0, 2021-05-07 20:11:36, United States, McKinney, Amazon, Cash, 45989, Y, 
157, c_00157, Veronica Wise, 103, Microwaves, Technology, 5, $800.0, 2021-01-05 13:36:32, United States, Atlanta, Tesco, Electronic, 53783, N, Account locked
158, c_00158, Melanie Nguyen, 305, Clocks, Furniture, 5, $500.0, 2021-01-05 13:36:32, United States, Toledo, Tesco, Internet Banking, 44078, Y, 
159, c_00159, Vanessa Williams, 316, Shelves, Furniture, 9, $270.0, 2021-12-27 19:08:23, United States, San Juan, Amazon, Gift card, 54087, Y, 
160, c_00160, Victoria Ramirez, 223, Belts, Clothes, 1, $42.0, 2021-12-11 19:24:04, United States, Tampa, Tesco, Gift card, 18174, Y, 
161, c_00161, Joseph Hicks, 313, Cupboard, Furniture, 6, $540.0, 2021-12-01 09:12:37, United States, McKinney, Tesco, Card, 95551, Y, 
162, c_00162, Raymond Lin, 113, Mouse, Technology, 6, $480.0, 2021-12-01 09:12:37, United States, Garden Grove, Tesco, Internet Banking, 42400, Y, 
163, c_00163, Christine Miller, 213, Tracksuit, Clothes, 5, $245.0, 2021-06-10 10:48:54, United States, Pembroke Pines, Tesco, Card, 89464, Y, 
164, c_00164, Ashley Watkins, 206, Swimwear, Clothes, 4, $116.0, 2021-12-26 18:14:24, United States, Sioux Falls, Tesco, Card, 19214, Y, 
165, c_00165, Stacey Guzman, 405, Textbooks, School Items, 4, $260.0, 2021-12-26 18:14:24, United States, Savannah, Tesco, Gift card, 38669, Y, 
166, c_00166, Emily Moran, 406, Backpacks, School Items, 7, $203.0, 2021-07-20 16:14:49, United States, Port St. Lucie, Tesco, Cash, 50606, Y, 
167, c_00167, Maria Fischer, 407, Bags, School Items, 5, $50.0, 2021-10-21 08:03:20, United States, Fontana, Tesco, Internet Banking, 30553, N, Account locked
168, c_00168, Nicole Young, 300, Chairs, Furniture, 5, $300.0, 2021-10-21 08:03:20, United States, Visalia, Tesco, Electronic, 63223, Y, 
169, c_00169, Kaitlin Phillips, 310, Ladders, Furniture, 2, $46.0, 2021-03-21 17:34:16, United States, Denton, Tesco, Internet Banking, 25475, Y, 
170, c_00170, Jeffrey Boyd, 312, Stool, Furniture, 7, $175.0, 2021-08-20 15:15:52, United States, Springfield, Tesco, Internet Banking, 64575, Y, 
171, c_00171, Amanda Chen, 217, Ties, Clothes, 7, $105.0, 2021-08-20 15:15:52, United States, Durham, Tesco, Card, 46951, N, Invalid CVV
172, c_00172, Nicholas Miller, 300, Chairs, Furniture, 1, $60.0, 2021-07-04 11:37:47, United States, Laredo, Tesco, Cash, 91565, Y, 
173, c_00173, Evelyn Smith, 221, Scarves, Clothes, 6, $108.0, 2021-12-10 10:32:10, United States, Yonkers, Amazon, Card, 90924, Y, 
